year,doi,title,authors,number.authors,citations,source.pages.count
1998,10.1118/1.598219,Sensitivity of amorphous selenium to x rays from 40 kVp to 18 MV: Measurements and implications for portal imaging,"Mah, D ; Rowlands, JA ; Rawlinson, JA",3,36,13
1998,10.1118/1.598220,A technique for calculating range spectra of charged particle beams distal to thick inhomogeneities,"Schneider, U ; Schaffner, B ; Lomax, T ; Pedroni, E ; Tourovsky, A",5,24,7
1998,10.1118/1.598221,Fast 2D phantom dosimetry for scanning proton beams,"Boon, SN ; van Luijk, P ; Schippers, JM ; Meertens, H ; Denis, JM ; Vynckier, S ; Medin, J ; Grusell, E",8,107,12
1998,10.1118/1.598222,A proton dose calculation algorithm for conformal therapy simulations based on Moliere's theory of lateral deflections,"Deasy, JO",1,37,8
1998,10.1118/1.598223,Attenuation characteristics of a new compensator material: Thermo-Shield for high energy electron and photon beams,"Paliwal, BR ; Rommelfanger, S ; Das, RK",3,12,4
1998,10.1118/1.598224,Production of radioisotopes by direct electron activation,"Weeks, KJ ; O'Shea, PG",2,5,5
1998,10.1118/1.598226,Equilibration of air temperature inside the thimble of a Farmer-type ion chamber,"Tailor, RC ; Chu, C ; Followill, DS ; Hanson, WF",4,15,7
1998,10.1118/1.598227,"Use of a new type of radiochromic film, a new parallel-plate micro-chamber, MOSFETs, and TLD 800 microcubes in the dosimetry of small beams","Francescon, P ; Cora, S ; Cavedon, C ; Scalchi, P ; Reccanello, S ; Colombo, F",6,94,9
1998,10.1118/1.598239,Measurement of the neutron sensitivity of TLD-300 irradiated in a tissue equivalent phantom by d(48.5)+Be neutrons,"Angelone, M ; Yudelev, M ; Kota, C ; Maughan, RL",4,6,4
1998,10.1118/1.598228,Computerized characterization of masses on mammograms: The rubber band straightening transform and texture analysis,"Sahiner, B ; Chan, HP ; Petrick, N ; Helvie, MA ; Goodsitt, MM",5,182,11
1998,10.1118/1.598233,Digital radiology using active matrix readout of amorphous selenium: Radiation hardness of cadmium selenide thin film transistors,"Zhao, W ; Waechter, D ; Rowlands, JA",3,5,12
1998,10.1118/1.598229,Digital radiology using active matrix readout of amorphous selenium: Detectors with high voltage protection,"Zhao, W ; Law, J ; Waechter, D ; Huang, ZS ; Rowlands, JA",5,37,11
1998,10.1118/1.598230,Algorithm for image reconstruction in multi-slice helical CT,"Taguchi, K ; Aradate, H",2,246,12
1998,10.1118/1.598231,A general approach for multidimensional smoothing,"Pan, XC",1,3,9
1998,10.1118/1.598240,Effects of motion blurring in x-ray fluoroscopy,"Xue, P ; Wilson, DL",2,25,13
1998,10.1118/1.598241,Image restoration and reconstruction with a Bayesian approach,"Kao, CM ; Pan, XC ; Chen, CT ; Wong, WH",4,13,14
1998,10.1118/1.598243,"Signal, noise power spectrum, and detective quantum efficiency of indirect-detection flat-panel imagers for diagnostic radiology","Siewerdsen, JH ; Antonuk, LE ; El-Mohri, Y ; Yorkston, J ; Huang, W ; Cunningham, IA",6,215,15
1998,10.1118/1.598244,Automated flight path planning for virtual endoscopy,"Paik, DS ; Beaulieu, CF ; Jeffrey, RB ; Rubin, GD ; Napel, S",5,131,9
1998,10.1118/1.598245,X-ray imaging using amorphous selenium: Determination of Swank factor by pulse height spectroscopy,"Blevis, IM ; Hunt, DC ; Rowlands, JA",3,35,4
1998,10.1118/1.598246,"Comparison of selected ultrasound performance tests with varying overall receiver gain and dynamic range, using conventional and magnified field of view","Kanal, KM ; Kofler, JM ; Groth, DS",3,5,6
1998,10.1118/1.598247,Estimating the spatial autocorrelation function for ultrasound scatterers in isotropic media,"Chen, JF ; Zagzebski, JA ; Dong, F ; Madsen, EL",4,20,8
1998,10.1118/1.598248,A technique for the quantitative evaluation of dose distributions,"Low, DA ; Harms, WB ; Mutic, S ; Purdy, JA",4,2284,6
1998,10.1118/1.598249,A generic off-axis energy correction for linac photon beam dosimetry,"Tailor, RC ; Tello, VM ; Schroy, CB ; Vossler, M ; Hanson, WF",5,43,6
1998,10.1118/1.598250,On compensator design for photon beam intensity-modulated conformal therapy,"Jiang, SB ; Ayyangar, KM",2,65,8
1998,10.1118/1.598251,An efficient method for small field treatment dose calculation for stereotactic radiosurgery using a LINAC,"Lam, CF ; Zhu, JG",2,2,7
1998,10.1118/1.598252,X-ray quantum limited portal imaging using amorphous silicon flat-panel arrays,"Munro, P ; Bouius, DC",2,134,14
1998,10.1118/1.598253,Determination of rotations in three dimensions using two-dimensional portal image registration,"Lujan, AE ; Balter, JM ; Ten Haken, RK",3,25,6
1998,10.1118/1.598236,<SUP>125</SUP>I brachytherapy k-edge dose enhancement with AgTPPS<sub>4</sub>,"Young, LA ; Kalet, IJ ; Rasey, JS ; Nelson, JA",4,6,10
1998,10.1118/1.598254,Analytical approach to heterogeneity correction factor calculation for brachytherapy,"Daskalov, GM ; Kirov, AS ; Williamson, JF",3,19,14
1998,10.1118/1.598255,Experimental and Monte Carlo dosimetry of the Henschke applicator for high dose-rate <SUP>192</SUP>Ir remote afterloading,"Watanabe, Y ; Roy, J ; Harrington, PJ ; Anderson, LL",4,13,10
1998,10.1118/1.598237,A method to improve the effectiveness of diode in vivo dosimetry,"Alecu, R ; Alecu, M ; Ochran, TG",3,17,4
1998,10.1118/1.598257,Extraction of the photon spectra from measured beam parameters,"Bloch, P ; McDonough, J",2,12,6
1998,10.1118/1.598258,On the calculation of mean restricted collision stopping powers,"Tome, WA ; Palta, JR",2,6,15
